fare_id,route_id,origin_id,destination_id,contains_id
162,,41,7,
162,,42,7,
162,,43,7,
161,,44,7,
159,,45,7,
154,,46,7,
152,,47,7,
148,,48,7,
58,,5,8,
58,,6,8,
80,,7,8,
104,,8,8,
130,,49,8,
107,,10,8,
103,,11,8,
100,,12,8,
97,,13,8,
96,,14,8,
94,,15,8,
92,,16,8,
90,,17,8,
90,,18,8,
90,,19,8,
95,,20,8,
99,,21,8,
104,,22,8,
108,,23,8,
113,,24,8,
119,,25,8,
127,,26,8,
134,,27,8,
113,,28,8,
133,,29,8,
141,,30,8,
131,,31,8,
67,,32,8,
128,,33,8,
120,,34,8,
118,,35,8,
111,,36,8,
104,,37,8,
94,,38,8,
89,,39,8,
85,,40,8,
85,,41,8,
85,,42,8,
85,,43,8,
83,,44,8,
82,,45,8,
78,,46,8,
75,,47,8,
71,,48,8,
120,,5,49,
124,,6,49,
208,,7,49,
130,,8,49,
104,,49,49,
94,,10,49,
90,,11,49,
87,,12,49,
83,,13,49,
83,,14,49,
81,,15,49,
79,,16,49,
77,,17,49,
77,,18,49,
77,,19,49,
72,,20,49,
69,,21,49,
64,,22,49,
35,,23,49,
64,,24,49,
70,,25,49,
78,,26,49,
84,,27,49,
35,,28,49,
35,,29,49,
124,,30,49,
115,,31,49,
116,,32,49,
111,,33,49,
104,,34,49,
101,,35,49,
95,,36,49,
88,,37,49,
79,,38,49,
79,,39,49,
108,,40,49,
108,,41,49,
108,,42,49,
108,,43,49,
109,,44,49,
110,,45,49,
113,,46,49,
114,,47,49,
117,,48,49,
96,,5,10,
101,,6,10,
185,,7,10,
107,,8,10,
94,,49,10,
104,,10,10,
35,,11,10,
35,,12,10,
35,,13,10,
35,,14,10,
35,,15,10,
48,,16,10,
52,,17,10,
52,,18,10,
52,,19,10,
58,,20,10,
62,,21,10,
67,,22,10,
72,,23,10,
77,,24,10,
82,,25,10,
91,,26,10,
97,,27,10,
77,,28,10,
97,,29,10,
98,,30,10,
88,,31,10,
93,,32,10,
85,,33,10,
78,,34,10,
74,,35,10,
68,,36,10,
61,,37,10,
49,,38,10,
55,,39,10,
85,,40,10,
85,,41,10,
85,,42,10,
85,,43,10,
86,,44,10,
87,,45,10,
90,,46,10,
91,,47,10,
93,,48,10,
92,,5,11,
97,,6,11,
181,,7,11,
103,,8,11,
90,,49,11,
35,,10,11,
104,,11,11,
35,,12,11,
35,,13,11,
35,,14,11,
35,,15,11,
42,,16,11,
46,,17,11,
46,,18,11,
46,,19,11,
54,,20,11,
58,,21,11,
64,,22,11,
68,,23,11,
73,,24,11,
78,,25,11,
87,,26,11,
93,,27,11,
73,,28,11,
93,,29,11,
94,,30,11,
85,,31,11,
89,,32,11,
81,,33,11,
74,,34,11,
71,,35,11,
65,,36,11,
58,,37,11,
43,,38,11,
49,,39,11,
81,,40,11,
81,,41,11,
81,,42,11,
81,,43,11,
83,,44,11,
83,,45,11,
86,,46,11,
87,,47,11,
90,,48,11,
89,,5,12,
94,,6,12,
178,,7,12,
100,,8,12,
87,,49,12,
35,,10,12,
35,,11,12,
104,,12,12,
35,,13,12,
35,,14,12,
35,,15,12,
37,,16,12,
41,,17,12,
41,,18,12,
41,,19,12,
49,,20,12,
55,,21,12,
60,,22,12,
65,,23,12,
70,,24,12,
75,,25,12,
84,,26,12,
90,,27,12,
70,,28,12,
90,,29,12,
91,,30,12,
82,,31,12,
86,,32,12,
78,,33,12,
71,,34,12,
68,,35,12,
61,,36,12,
53,,37,12,
38,,38,12,
44,,39,12,
78,,40,12,
78,,41,12,
78,,42,12,
78,,43,12,
79,,44,12,
80,,45,12,
83,,46,12,
84,,47,12,
87,,48,12,
86,,5,13,
91,,6,13,
174,,7,13,
97,,8,13,
83,,49,13,
35,,10,13,
35,,11,13,
35,,12,13,
104,,13,13,
35,,14,13,
35,,15,13,
35,,16,13,
35,,17,13,
35,,18,13,
35,,19,13,
44,,20,13,
49,,21,13,
57,,22,13,
61,,23,13,
67,,24,13,
72,,25,13,
81,,26,13,
87,,27,13,
66,,28,13,
86,,29,13,
88,,30,13,
78,,31,13,
83,,32,13,
75,,33,13,
67,,34,13,
65,,35,13,
58,,36,13,
47,,37,13,
35,,38,13,
39,,39,13,
74,,40,13,
74,,41,13,
74,,42,13,
74,,43,13,
76,,44,13,
77,,45,13,
80,,46,13,
81,,47,13,
83,,48,13,
85,,5,14,
90,,6,14,
173,,7,14,
96,,8,14,
83,,49,14,
35,,10,14,
35,,11,14,
35,,12,14,
35,,13,14,
104,,14,14,
35,,15,14,
35,,16,14,
35,,17,14,
35,,18,14,
35,,19,14,
41,,20,14,
47,,21,14,
56,,22,14,
61,,23,14,
65,,24,14,
71,,25,14,
80,,26,14,
86,,27,14,
66,,28,14,
86,,29,14,
87,,30,14,
77,,31,14,
82,,32,14,
74,,33,14,
66,,34,14,
63,,35,14,
56,,36,14,
45,,37,14,
35,,38,14,
36,,39,14,
73,,40,14,
73,,41,14,
73,,42,14,
73,,43,14,
75,,44,14,
76,,45,14,
79,,46,14,
80,,47,14,
82,,48,14,
83,,5,15,
88,,6,15,
172,,7,15,
94,,8,15,
81,,49,15,
35,,10,15,
35,,11,15,
35,,12,15,
35,,13,15,
35,,14,15,
104,,15,15,
35,,16,15,
35,,17,15,
35,,18,15,
35,,19,15,
38,,20,15,
44,,21,15,
53,,22,15,
59,,23,15,
64,,24,15,
69,,25,15,
78,,26,15,
84,,27,15,
64,,28,15,
84,,29,15,
86,,30,15,
76,,31,15,
80,,32,15,
73,,33,15,
65,,34,15,
62,,35,15,
53,,36,15,
42,,37,15,
35,,38,15,
35,,39,15,
70,,40,15,
70,,41,15,
70,,42,15,
70,,43,15,
73,,44,15,
74,,45,15,
77,,46,15,
78,,47,15,
80,,48,15,
81,,5,16,
86,,6,16,
169,,7,16,
92,,8,16,
79,,49,16,
48,,10,16,
42,,11,16,
37,,12,16,
35,,13,16,
35,,14,16,
35,,15,16,
104,,16,16,
35,,17,16,
35,,18,16,
35,,19,16,
35,,20,16,
40,,21,16,
49,,22,16,
55,,23,16,
62,,24,16,
67,,25,16,
76,,26,16,
82,,27,16,
62,,28,16,
82,,29,16,
86,,30,16,
76,,31,16,
78,,32,16,
73,,33,16,
65,,34,16,
62,,35,16,
52,,36,16,
35,,37,16,
35,,38,16,
35,,39,16,
66,,40,16,
66,,41,16,
66,,42,16,
66,,43,16,
69,,44,16,
71,,45,16,
75,,46,16,
76,,47,16,
78,,48,16,
79,,5,17,
84,,6,17,
168,,7,17,
90,,8,17,
77,,49,17,
52,,10,17,
46,,11,17,
41,,12,17,
35,,13,17,
35,,14,17,
35,,15,17,
35,,16,17,
104,,17,17,
35,,18,17,
35,,19,17,
35,,20,17,
35,,21,17,
45,,22,17,
52,,23,17,
60,,24,17,
65,,25,17,
74,,26,17,
80,,27,17,
60,,28,17,
80,,29,17,
86,,30,17,
77,,31,17,
76,,32,17,
73,,33,17,
66,,34,17,
63,,35,17,
55,,36,17,
44,,37,17,
35,,38,17,
35,,39,17,
62,,40,17,
62,,41,17,
62,,42,17,
62,,43,17,
65,,44,17,
67,,45,17,
72,,46,17,
74,,47,17,
76,,48,17,
79,,5,18,
84,,6,18,
168,,7,18,
90,,8,18,
77,,49,18,
52,,10,18,
46,,11,18,
41,,12,18,
35,,13,18,
35,,14,18,
35,,15,18,
35,,16,18,
35,,17,18,
104,,18,18,
35,,19,18,
35,,20,18,
35,,21,18,
45,,22,18,
52,,23,18,
60,,24,18,
65,,25,18,
74,,26,18,
80,,27,18,
60,,28,18,
80,,29,18,
86,,30,18,
77,,31,18,
76,,32,18,
73,,33,18,
66,,34,18,
63,,35,18,
55,,36,18,
44,,37,18,
35,,38,18,
35,,39,18,
62,,40,18,
62,,41,18,
62,,42,18,
62,,43,18,
65,,44,18,
67,,45,18,
72,,46,18,
74,,47,18,
76,,48,18,
79,,5,19,
84,,6,19,
168,,7,19,
90,,8,19,
77,,49,19,
52,,10,19,
46,,11,19,
41,,12,19,
35,,13,19,
35,,14,19,
35,,15,19,
35,,16,19,
35,,17,19,
35,,18,19,
104,,19,19,
35,,20,19,
35,,21,19,
45,,22,19,
52,,23,19,
60,,24,19,
65,,25,19,
74,,26,19,
80,,27,19,
60,,28,19,
80,,29,19,
86,,30,19,
77,,31,19,
76,,32,19,
73,,33,19,
66,,34,19,
63,,35,19,
55,,36,19,
44,,37,19,
35,,38,19,
35,,39,19,
62,,40,19,
62,,41,19,
62,,42,19,
62,,43,19,
65,,44,19,
67,,45,19,
72,,46,19,
74,,47,19,
76,,48,19,
84,,5,20,
89,,6,20,
173,,7,20,
95,,8,20,
72,,49,20,
58,,10,20,
54,,11,20,
49,,12,20,
44,,13,20,
41,,14,20,
38,,15,20,
35,,16,20,
35,,17,20,
35,,18,20,
35,,19,20,
104,,20,20,
35,,21,20,
35,,22,20,
44,,23,20,
52,,24,20,
60,,25,20,
69,,26,20,
75,,27,20,
52,,28,20,
75,,29,20,
89,,30,20,
80,,31,20,
81,,32,20,
76,,33,20,
69,,34,20,
66,,35,20,
60,,36,20,
50,,37,20,
36,,38,20,
35,,39,20,
70,,40,20,
70,,41,20,
70,,42,20,
70,,43,20,
73,,44,20,
75,,45,20,
78,,46,20,
79,,47,20,
82,,48,20,
88,,5,21,
93,,6,21,
176,,7,21,
99,,8,21,
69,,49,21,
62,,10,21,
58,,11,21,
55,,12,21,
49,,13,21,
47,,14,21,
44,,15,21,
40,,16,21,
35,,17,21,
35,,18,21,
35,,19,21,
35,,20,21,
104,,21,21,
35,,22,21,
35,,23,21,
46,,24,21,
54,,25,21,
66,,26,21,
72,,27,21,
46,,28,21,
72,,29,21,
93,,30,21,
83,,31,21,
85,,32,21,
80,,33,21,
72,,34,21,
70,,35,21,
63,,36,21,
56,,37,21,
41,,38,21,
39,,39,21,
76,,40,21,
76,,41,21,
76,,42,21,
76,,43,21,
78,,44,21,
79,,45,21,
81,,46,21,
83,,47,21,
85,,48,21,
93,,5,22,
98,,6,22,
181,,7,22,
104,,8,22,
64,,49,22,
67,,10,22,
64,,11,22,
60,,12,22,
57,,13,22,
56,,14,22,
53,,15,22,
49,,16,22,
45,,17,22,
45,,18,22,
45,,19,22,
35,,20,22,
35,,21,22,
104,,22,22,
35,,23,22,
35,,24,22,
46,,25,22,
59,,26,22,
67,,27,22,
35,,28,22,
66,,29,22,
98,,30,22,
89,,31,22,
90,,32,22,
85,,33,22,
78,,34,22,
75,,35,22,
69,,36,22,
62,,37,22,
50,,38,22,
48,,39,22,
82,,40,22,
82,,41,22,
82,,42,22,
82,,43,22,
83,,44,22,
84,,45,22,
87,,46,22,
88,,47,22,
90,,48,22,
98,,5,23,
102,,6,23,
186,,7,23,
108,,8,23,
35,,49,23,
72,,10,23,
