stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
71839,,AVONDALE RD NE & NE 132ND ST,,47.7179451,-122.087685,40,,,
71840,,AVONDALE RD NE & AVONDALE PL NE,,47.7082558,-122.089706,19,,,
71841,,AVONDALE RD NE & NE 143RD ST,,47.7292595,-122.08326,19,,,
71842,,AVONDALE RD NE & NE 128TH WAY,,47.7150383,-122.088539,40,,,
71843,,AVONDALE RD NE & AVONDALE PL NE,,47.7085571,-122.089317,40,,,
71850,,AVONDALE RD NE & NE 116TH ST,,47.7020073,-122.092941,19,,,
71864,,AVONDALE RD NE & 11000 BLOCK,,47.6988029,-122.093338,19,,,
71865,,NE 20TH ST & 148TH AVE NE,,47.6277962,-122.141624,19,,,
71866,,NE 20TH ST & NE BELLEVUE REDMOND RD,,47.6278114,-122.136215,19,,,
71868,,AVONDALE RD NE & 11000 BLOCK,,47.6990128,-122.093094,40,,,
71870,,AVONDALE RD NE & NE 104TH ST,,47.691349,-122.092407,19,,,
71876,,AVONDALE RD NE & NE NOVELTY HILL RD,,47.687336,-122.093704,19,,,
71880,,AVONDALE RD NE & NE 95TH ST,,47.685524,-122.096001,19,,,
71890,,AVONDALE RD NE & 180TH AVE NE,,47.6824036,-122.099945,19,,,
71910,,AVONDALE RD NE & NE 85TH PL,,47.6786766,-122.104568,19,,,
71950,,SR 202 & NE 79TH ST,,47.6739082,-122.121231,19,,,
71951,,NE 83RD ST & 164TH AVE NE,,47.6765823,-122.12381,19,,,
71954,,NE 83RD ST & 161ST AVE NE,,47.6767197,-122.123947,19,,,
71960,,REDMOND TC,,47.6768684,-122.124428,19,,,
71961,,NE 83RD ST & 161ST AVE NE,,47.676712,-122.125122,19,,,
71970,,REDMOND WAY & 160TH AVE NE,,47.6748428,-122.127968,19,,,
71971,,REDMOND WAY & 159TH PL NE,,47.674099,-122.130646,19,,,
71974,,WEST LK SAMMAMISH PKWY NE & NE MARYMOOR WAY,,47.6620789,-122.12619,19,,,
71976,,WEST LK SAMMAMISH PKWY NE & NE MARYMOOR WAY,,47.6615944,-122.12603,19,,,
71980,,WEST LK SAMMAMISH WAY NE & NE REDMOND WAY,,47.6729851,-122.134003,19,,,
71981,,NE OLD REDMOND RD & WEST LK SAMMAMISH WAY NE,,47.6717758,-122.133652,19,,,
71982,,WEST LK SAMMAMISH PKWY NE & NE 51ST ST,,47.6576195,-122.121193,19,,,
71984,,WEST LK SAMMAMISH PKWY NE & NE 48TH ST,,47.6517677,-122.116982,19,,,
71985,,NE OLD REDMOND RD & NE 70TH ST,,47.6680298,-122.133537,19,,,
71990,,NE OLD REDMOND RD & NE 68TH ST,,47.6671371,-122.135986,19,,,
72005,,NE OLD REDMOND RD & 151ST AVE NE,,47.6678848,-122.138908,19,,,
72015,,NE OLD REDMOND RD & 148TH AVE NE,,47.6675911,-122.143837,19,,,
72030,,NE OLD REDMOND RD & 143RD CT NE,,47.6664314,-122.148483,19,,,
72040,,NE OLD REDMOND RD & 140TH AVE NE,,47.6661758,-122.153076,19,,,
72050,,NE OLD REDMOND RD & 137TH AVE NE,,47.6670952,-122.158295,19,,,
72060,,NE 70TH PL & 132ND AVE NE,,47.6673546,-122.166077,19,,,
72070,,NE 70TH PL & 130TH AVE NE,,47.667511,-122.16687,19,,,
72080,,NE 70TH ST & 128TH AVE NE,,47.6681671,-122.170616,19,,,
72090,,NE 70TH ST & 126TH AVE NE,,47.6681976,-122.172386,19,,,
72091,,NE 75TH ST & 122ND AVE NE,,47.6718521,-122.177811,19,,,
72100,,NE 70TH ST & 124TH AVE NE,,47.668232,-122.174995,19,,,
72110,,NE 70TH ST & 122ND AVE NE,,47.6682663,-122.177841,19,,,
72120,,NE 70TH ST & 120TH AVE NE,,47.6682968,-122.180679,19,,,
72122,,NE 70TH ST & 119TH AVE NE,,47.6683197,-122.182228,19,,,
72134,,NE 72ND PL & 116TH AVE NE,,47.6692924,-122.188278,19,,,
72140,,NE 68TH ST & 112TH AVE NE,,47.6666374,-122.191162,19,,,
72150,,NE 68TH ST & 110TH AVE NE,,47.6663437,-122.193069,19,,,
72155,,108TH AVE NE & NE 62ND ST,,47.6631546,-122.196121,19,,,
72156,,108TH AVE NE & NE 68TH ST,,47.6651764,-122.196144,19,,,
72161,,6TH ST S & NE 68TH ST,,47.6674194,-122.196144,19,,,
72163,,6TH ST S & 5TH AVE S,,47.6717186,-122.196213,19,,,
72164,,6TH ST S & 1ST AVE S,,47.6744766,-122.196243,19,,,
72180,,STATE ST S & 10TH AVE S,,47.6675911,-122.201797,19,,,
72190,,STATE ST & 7TH AVE S,,47.6706314,-122.202194,19,,,
